company;address;x;y
Basic-Fit;Molenvlietweg 18, 1432GW AALSMEER;4.7779031;52.2661496
Basic-Fit;Terborchlaan 299, 1816MH ALKMAAR;4.7145587;52.6335706
Basic-Fit;Oosterweezenstraat 15, 1823CN ALKMAAR;4.751788;52.6350701
Basic-Fit;Groenplein 2, 7604BG ALMELO;6.6283098;52.3597349
Basic-Fit;Stadionlaan 34, 7606JZ ALMELO;6.6506776;52.3381375
Basic-Fit;Donjon 9, 1315XH ALMERE;5.2204288;52.3697091
Basic-Fit;Trekweg 51, 1338GA ALMERE;5.2835043;52.3806617
Basic-Fit;Sportlaan 2, 2406LD ALPHEN AAN DEN RIJN;4.6767161;52.1303977
Basic-Fit;Groningerstraat 172, 3812EG AMERSFOORT;5.3790727;52.1586539
Basic-Fit;Groningerstraat 172, 3812EG AMERSFOORT;5.3790727;52.1586539
Basic-Fit;Lageweg 14-16, 3815VG AMERSFOORT;5.4052742;52.1605334
Basic-Fit;Arent Janszoon Ernststr 1, 1083GP AMSTERDAM;4.8892492;52.3318044
Basic-Fit;Amstelstraat 22, 1017DA AMSTERDAM;4.8993621;52.3660989
Basic-Fit;Baarsjesweg 224, 1058AA AMSTERDAM;4.8582838;52.3634059
Basic-Fit;Rijnsburgstraat 9-11, 1059AT AMSTERDAM;4.8474286;52.3468517
Basic-Fit;Distelweg 80, 1031HH AMSTERDAM;4.9067659;52.3919097
Basic-Fit;Europaboulevard 21, 1079PC AMSTERDAM;4.892693;52.3387036
Basic-Fit;Pieter Calandlaan 1287, 1069RE AMSTERDAM;4.7952037;52.3508567
Basic-Fit;Overtoom 37-43, 1054HB AMSTERDAM;4.8557024;52.3578541
Basic-Fit;President Allendelaan 3, 1064GW AMSTERDAM;4.8171202;52.3700186
Basic-Fit;President Allendelaan 2-4, 1064GW AMSTERDAM;4.8168985;52.3714337
Basic-Fit;Sportpark Kadoelen 4, 1035NB AMSTERDAM;4.9103034;52.4149824
Basic-Fit;Stadhouderskade 74-75, 1072AE AMSTERDAM;4.9017916;52.3583168
Basic-Fit;Koningin Wilhelminaplein 13, 1062HH AMSTERDAM;4.8411274;52.3545559
Basic-Fit;Ambachtsveld 2, 7327AZ APELDOORN;5.9854626;52.193292
Basic-Fit;Laan van het Omniversum 14, 7324BM APELDOORN;5.9965136;52.2444804
